['6495932', '6689426', '6840624', '6917899'] #GCS: 0.0620600683114
['6495932', '6689426', '6840624'] #GCS: 0.0581039833778
['6495932', '6840624', '6917899'] #GCS: 0.0715458067997
['6495932', '6689426', '6864027'] #GCS: 0.0404354518427
['6243535', '6525735', '6916394'] #GCS: 0.0626789500466
['6525735', '6769405', '6924047'] #GCS: 0.0649552671694
['6525735', '6769405', '6780393'] #GCS: 0.0281392127125
['6243535', '6525735', '6800944'] #GCS: 0.0155752775254
['6525735', '6780393', '6800944'] #GCS: 0.0286291012008
['6525735', '6769405', '6800944'] #GCS: 0.0380244954934
['6525735', '6769405', '6780393', '6800944'] #GCS: 0.0304564643376
['6758896', '6872438', '6904454'] #GCS: 0.0714049065969
['6403007', '6758896', '6904454'] #GCS: 0.0693303472659
['6403007', '6758896', '6872438', '6904454'] #GCS: 0.0639637709783
['5347743', '6403007', '6758896', '6904454'] #GCS: 0.0717869261942
['5347743', '6758896', '6904454'] #GCS: 0.0656336719665
['5335750', '5750745', '6758896'] #GCS: 0.0595338838463
['5750745', '6758896', '6872438'] #GCS: 0.043671887306
['5347743', '6403007', '6758896'] #GCS: 0.0827673573133
['5347743', '6403007', '6758896', '6872438'] #GCS: 0.0754895620561
['6403007', '6758896', '6872438'] #GCS: 0.0679841672688
['5347743', '6758896', '6872438'] #GCS: 0.0659602384625
['5253811', '6769405', '6780393'] #GCS: 0.0419095475752
['5253811', '6403007', '6780393'] #GCS: 0.0227499858495
['5347743', '6319099', '6769405'] #GCS: 0.0338035268119
['6757552', '6915856', '6925468'] #GCS: 0.0414141033126
['6780393', '6915856', '6925468'] #GCS: 0.0590133763516
['5750745', '6403007', '6915856'] #GCS: 0.0123794894071
['5750745', '6866291', '6915856'] #GCS: 0.02556011934
['6403007', '6866291', '6915856'] #GCS: 0.0379244702158
['5347743', '6866291', '6915856'] #GCS: 0.104400412948
['6292077', '6872438', '6920834'] #GCS: 0.0511881656533
['5347743', '6292077', '6872438'] #GCS: 0.105745028984
['5318403', '6292077', '6872438'] #GCS: 0.101680372047
['5806017', '5953084', '6161720'] #GCS: 0.129039532444
['5750745', '6864027', '6896441'] #GCS: 0.0170433392485
['6243535', '6864027', '6890814'] #GCS: 0.0513708261978
['6864027', '6872438', '6920834'] #GCS: 0.142439793726
['6689426', '6864027', '6920834'] #GCS: 0.0511073162629
['6689426', '6864027', '6872438'] #GCS: 0.0382493216896
['6689426', '6864027', '6917899'] #GCS: 0.0410589322662
['6689426', '6840624', '6864027'] #GCS: 0.0365874268073
['5750745', '6846862', '6864027'] #GCS: 0.0254676844581
['5750745', '6243535', '6864027'] #GCS: 0.0212825815214
['5750745', '6403007', '6864027'] #GCS: 0.0310975716667
['6840624', '6855394', '6890814'] #GCS: 0.100949474062
['5592334', '5805376', '6855394'] #GCS: 0.0517967779733
['5318403', '6855394', '6872438'] #GCS: 0.024803460686
['6840624', '6855394', '6917899'] #GCS: 0.0570996539583
['6855394', '6872438', '6904454'] #GCS: 0.0576982238514
['5335750', '6840624', '6855394'] #GCS: 0.174539794922
['5335750', '5805376', '6855394'] #GCS: 0.068890500568
['6220775', '6840624', '6855394'] #GCS: 0.139676671464
['5805376', '6840624', '6855394'] #GCS: 0.0881151852503
['6757552', '6840624', '6855394'] #GCS: 0.129727183496
['5805376', '6757552', '6855394'] #GCS: 0.0565581276958
['6689426', '6840624', '6855394'] #GCS: 0.0689467706016
['5997493', '6840624', '6855394'] #GCS: 0.0814203094653
['5347743', '6840624', '6855394'] #GCS: 0.0700713684229
['6780393', '6925468', '6937196'] #GCS: 0.0501394555267
['5335750', '6780393', '6937196'] #GCS: 0.0336730977714
['5335750', '5805376', '6937196'] #GCS: 0.0322130230825
['5805376', '6780393', '6937196'] #GCS: 0.0159789072664
['6023030', '6161720', '6826738'] #GCS: 0.0801541228814
['5318403', '6824315', '6872438'] #GCS: 0.0535649174487
['6780393', '6824315', '6866291'] #GCS: 0.130654627763
['5347743', '6824315', '6872438'] #GCS: 0.0401110868258
['5450992', '6243535', '6800944'] #GCS: 0.0864488103085
['5347743', '6496990', '6697415'] #GCS: 0.0616633406391
['5347743', '6496990', '6866291'] #GCS: 0.137669971122
['5347743', '5805376', '6496990'] #GCS: 0.0413737623452
['5347743', '6451936', '6496990'] #GCS: 0.0345582420987
['6807916', '6866291', '6896441'] #GCS: 0.157054434355
['6403007', '6896441', '6915778'] #GCS: 0.0190873504497
['6866291', '6896441', '6917899'] #GCS: 0.101136956314
['6757552', '6866291', '6896441'] #GCS: 0.0664437256885
['6689426', '6780393', '6896441'] #GCS: 0.0535958827387
['5592334', '6780393', '6896441'] #GCS: 0.0332603685732
['6769405', '6866291', '6896441'] #GCS: 0.0857187209017
['6243535', '6769405', '6896441'] #GCS: 0.0802219369503
['6800944', '6866291', '6896441'] #GCS: 0.130799359298
['6780393', '6800944', '6896441'] #GCS: 0.0478118592938
['6243535', '6800944', '6896441'] #GCS: 0.0817897677453
['6403007', '6846862', '6896441'] #GCS: 0.025250420535
['6403007', '6780393', '6896441'] #GCS: 0.0234261609592
['6866291', '6896441', '6925468'] #GCS: 0.0464955032766
['6780393', '6866291', '6896441'] #GCS: 0.088598139855
['6243535', '6866291', '6896441'] #GCS: 0.111597458254
['5624348', '6757552', '6915778'] #GCS: 0.088171538898
['6807916', '6915778', '6917899'] #GCS: 0.202479902604
['6780393', '6800944', '6807916'] #GCS: 0.0814219515137
['5805376', '6807916', '6872438'] #GCS: 0.121566476732
['6780393', '6807916', '6840624'] #GCS: 0.0543298857285
['6243535', '6807916', '6866291'] #GCS: 0.2035713345
['5347743', '6807916', '6866291'] #GCS: 0.124576057435
['6807916', '6840624', '6866291'] #GCS: 0.12034769745
['6780393', '6807916', '6866291'] #GCS: 0.149854276001
['6872438', '6904454', '6913107'] #GCS: 0.048717791581
['6689426', '6913107', '6920834'] #GCS: 0.0635568419854
['6243535', '6697415', '6913107'] #GCS: 0.0500306945343
['5592334', '6403007', '6913107'] #GCS: 0.0549032565949
['6872438', '6913107', '6924047'] #GCS: 0.24217842529
['6866291', '6913107', '6916394'] #GCS: 0.0928531298992
['5805376', '6872438', '6913107'] #GCS: 0.0504563491413
['5750745', '6866291', '6913107'] #GCS: 0.05674415648
['5750745', '6846862', '6913107'] #GCS: 0.0479459375592
['5750745', '6403007', '6913107'] #GCS: 0.0369256677254
['5750745', '5805376', '6913107'] #GCS: 0.0339754598431
['5750745', '6872438', '6913107'] #GCS: 0.118783899227
['6243535', '6403007', '6913107'] #GCS: 0.0230662292567
['6243535', '6866291', '6913107'] #GCS: 0.0503916090487
['6403007', '6866291', '6913107'] #GCS: 0.0429014064651
['6689426', '6872438', '6913107'] #GCS: 0.0775192051993
['5805376', '6689426', '6913107'] #GCS: 0.076573671302
['6689426', '6866291', '6913107'] #GCS: 0.068382484575
['6243535', '6689426', '6913107'] #GCS: 0.0426684795193
['6023030', '6220775', '6872438'] #GCS: 0.181808532027
['5335750', '6023030', '6872438'] #GCS: 0.184167924746
['6023030', '6161720', '6436251'] #GCS: 0.0771901318946
['5953084', '6023030', '6436251'] #GCS: 0.0838275004223
['5953084', '6161720', '6436251'] #GCS: 0.0689909121624
['6872438', '6904454', '6920834'] #GCS: 0.0315616116697
['5347743', '6872438', '6920834'] #GCS: 0.0694316088304
['5318403', '6872438', '6920834'] #GCS: 0.0599671496522
['6866291', '6920834', '6925468'] #GCS: 0.0678333471406
['5805376', '6840624', '6920834'] #GCS: 0.046625449778
['5805376', '6403007', '6920834'] #GCS: 0.0459261040881
['5805376', '6872438', '6920834'] #GCS: 0.050465282591
['6840624', '6872438', '6920834'] #GCS: 0.114064635834
['6403007', '6846862', '6920834'] #GCS: 0.0145219262672
['6769405', '6872438', '6920834'] #GCS: 0.0409747498821
['6769405', '6866291', '6920834'] #GCS: 0.0624955598091
['6689426', '6872438', '6920834'] #GCS: 0.0817270390654
['6689426', '6846862', '6920834'] #GCS: 0.0378261515907
['6243535', '6689426', '6920834'] #GCS: 0.07214373936
['6689426', '6917899', '6920834'] #GCS: 0.0377911937323
['6780393', '6866291', '6920834'] #GCS: 0.077877571863
['5997493', '6840624', '6904454'] #GCS: 0.0990649486854
['5750745', '6872438', '6904454'] #GCS: 0.0190463919853
['5318403', '6403007', '6904454'] #GCS: 0.0765331829456
['5347743', '6403007', '6904454'] #GCS: 0.0546551527527
['5347743', '6403007', '6872438', '6904454'] #GCS: 0.039760690301
['6403007', '6872438', '6904454'] #GCS: 0.0545743493637
['5805376', '6840624', '6904454'] #GCS: 0.101940095789
['5805376', '6403007', '6904454'] #GCS: 0.0515356219523
['5805376', '6403007', '6872438', '6904454'] #GCS: 0.081163014981
['5347743', '5805376', '6904454'] #GCS: 0.0545294453881
['5347743', '5805376', '6872438', '6904454'] #GCS: 0.0516047763781
['5805376', '6872438', '6904454'] #GCS: 0.0500028573558
['5318403', '6840624', '6904454'] #GCS: 0.101399717437
['5347743', '6840624', '6904454'] #GCS: 0.0756668971862
['5347743', '6872438', '6904454'] #GCS: 0.0576830809321
['5318403', '5347743', '6904454'] #GCS: 0.109767215658
['5318403', '6872438', '6904454'] #GCS: 0.0753667873043
['6646674', '6780393', '6866291'] #GCS: 0.0570635634544
['6220775', '6840624', '6890814'] #GCS: 0.0958842668834
['6243535', '6890814', '6916394'] #GCS: 0.0642255843159
['6243535', '6890814', '6917899'] #GCS: 0.0399412930887
['6243535', '6769405', '6890814'] #GCS: 0.0466783187052
['5347743', '6243535', '6890814'] #GCS: 0.0459168452864
['5997493', '6840624', '6890814'] #GCS: 0.0668712634899
['5997493', '6243535', '6890814'] #GCS: 0.0677064765873
['6243535', '6840624', '6890814'] #GCS: 0.0973791444786
['6243535', '6866291', '6890814'] #GCS: 0.0485138957653
['5592334', '6689426', '6866291'] #GCS: 0.0590481032119
['5335750', '5592334', '6866291'] #GCS: 0.101394805959
['5335750', '5592334', '5805376'] #GCS: 0.0644540061689
['5335750', '5592334', '5805376', '6780393'] #GCS: 0.0568978287203
['5335750', '5592334', '6780393'] #GCS: 0.0496331248071
['5592334', '6757552', '6780393'] #GCS: 0.0304239623349
['5592334', '6757552', '6866291'] #GCS: 0.0940078544065
['5592334', '6757552', '6780393', '6866291'] #GCS: 0.0556724098473
['5592334', '5805376', '6866291'] #GCS: 0.0749199991803
['5592334', '5805376', '6780393', '6866291'] #GCS: 0.0505714475226
['5592334', '5805376', '6780393'] #GCS: 0.0274829582166
['5592334', '6780393', '6866291'] #GCS: 0.0600677483981
['6757552', '6846862', '6889991'] #GCS: 0.0531784428451
['5335750', '6689426', '6866291'] #GCS: 0.0567037585952
['5335750', '6689426', '6840624'] #GCS: 0.110101658843
['6243535', '6689426', '6924047'] #GCS: 0.0639111066067
['5750745', '5805376', '6689426'] #GCS: 0.0379407851975
['6689426', '6780393', '6840624'] #GCS: 0.0274830697406
['6689426', '6757552', '6840624'] #GCS: 0.0362759633312
['6689426', '6846862', '6917899'] #GCS: 0.0299014726133
['5805376', '6689426', '6872438'] #GCS: 0.0733434236567
['5805376', '6689426', '6866291'] #GCS: 0.0694086674028
['6689426', '6780393', '6866291'] #GCS: 0.0630443294308
['5347743', '6689426', '6866291'] #GCS: 0.0644187166454
['6689426', '6840624', '6866291'] #GCS: 0.0335959609697
['6689426', '6840624', '6917899'] #GCS: 0.052898352934
