['6495932', '6689426', '6864027'] #GCS: 0.289434175599
['6243535', '6525735', '6916394'] #GCS: 0.336993749574
['6525735', '6769405', '6924047'] #GCS: 0.30050675729
['6525735', '6769405', '6780393'] #GCS: 0.27066168599
['6243535', '6525735', '6800944'] #GCS: 0.33356139588
['6525735', '6780393', '6800944'] #GCS: 0.315664397917
['6525735', '6769405', '6800944'] #GCS: 0.301092362541
['6525735', '6769405', '6780393', '6800944'] #GCS: 0.288996082836
['6758896', '6872438', '6904454'] #GCS: 0.383500450693
['6403007', '6758896', '6904454'] #GCS: 0.300490443637
['6403007', '6758896', '6872438', '6904454'] #GCS: 0.260955483268
['5347743', '6403007', '6758896', '6904454'] #GCS: 0.265739226161
['5347743', '6758896', '6904454'] #GCS: 0.355717310496
['5335750', '5750745', '6758896'] #GCS: 0.147914118583
['5750745', '6758896', '6872438'] #GCS: 0.203257001545
['5347743', '6403007', '6758896'] #GCS: 0.251398138402
['5347743', '6403007', '6758896', '6872438'] #GCS: 0.257275488657
['6403007', '6758896', '6872438'] #GCS: 0.411686816451
['5347743', '6758896', '6872438'] #GCS: 0.369896903206
['5253811', '6769405', '6780393'] #GCS: 0.357124229836
['5253811', '6403007', '6780393'] #GCS: 0.348772681616
['5347743', '6319099', '6769405'] #GCS: 0.293314121139
['6757552', '6915856', '6925468'] #GCS: 0.348389683181
['6780393', '6915856', '6925468'] #GCS: 0.358212949293
['5750745', '6403007', '6915856'] #GCS: 0.253257761747
['5750745', '6866291', '6915856'] #GCS: 0.201810711426
['6403007', '6866291', '6915856'] #GCS: 0.260959412379
['5347743', '6866291', '6915856'] #GCS: 0.264808676701
['6292077', '6872438', '6920834'] #GCS: 0.26789334963
['5347743', '6292077', '6872438'] #GCS: 0.355859593699
['5318403', '6292077', '6872438'] #GCS: 0.237367513225
['5806017', '5953084', '6161720'] #GCS: 0.226339137934
['5750745', '6864027', '6896441'] #GCS: 0.256345033594
['6243535', '6864027', '6890814'] #GCS: 0.266098460836
['6864027', '6872438', '6920834'] #GCS: 0.29119303668
['6689426', '6864027', '6920834'] #GCS: 0.311378257923
['6689426', '6864027', '6872438'] #GCS: 0.306725984326
['6689426', '6864027', '6917899'] #GCS: 0.221789238396
['6689426', '6840624', '6864027'] #GCS: 0.268943072802
['5750745', '6846862', '6864027'] #GCS: 0.163969717773
['5750745', '6243535', '6864027'] #GCS: 0.146916702028
['5750745', '6403007', '6864027'] #GCS: 0.23746532613
['6840624', '6855394', '6890814'] #GCS: 0.294753060828
['5592334', '5805376', '6855394'] #GCS: 0.326715126742
['5318403', '6855394', '6872438'] #GCS: 0.239152400221
['6840624', '6855394', '6917899'] #GCS: 0.261335143877
['6855394', '6872438', '6904454'] #GCS: 0.306437103849
['5335750', '6840624', '6855394'] #GCS: 0.366900652086
['5335750', '5805376', '6855394'] #GCS: 0.347713215956
['6220775', '6840624', '6855394'] #GCS: 0.382558312867
['5805376', '6840624', '6855394'] #GCS: 0.264137798704
['6757552', '6840624', '6855394'] #GCS: 0.240833028492
['5805376', '6757552', '6855394'] #GCS: 0.245028936986
['6689426', '6840624', '6855394'] #GCS: 0.259860933813
['5997493', '6840624', '6855394'] #GCS: 0.23893159577
['5347743', '6840624', '6855394'] #GCS: 0.259601460784
['6780393', '6925468', '6937196'] #GCS: 0.281856111158
['5335750', '6780393', '6937196'] #GCS: 0.164974844623
['5335750', '5805376', '6937196'] #GCS: 0.222723966317
['5805376', '6780393', '6937196'] #GCS: 0.2523189445
['6023030', '6161720', '6826738'] #GCS: 0.231378825419
['5318403', '6824315', '6872438'] #GCS: 0.322098968542
['6780393', '6824315', '6866291'] #GCS: 0.248534151052
['5347743', '6824315', '6872438'] #GCS: 0.298602338784
['5450992', '6243535', '6800944'] #GCS: 0.39340323127
['5347743', '6496990', '6697415'] #GCS: 0.351141894821
['5347743', '6496990', '6866291'] #GCS: 0.374037889521
['5347743', '5805376', '6496990'] #GCS: 0.27512986365
['5347743', '6451936', '6496990'] #GCS: 0.3056670465
['6807916', '6866291', '6896441'] #GCS: 0.291129846749
['6403007', '6896441', '6915778'] #GCS: 0.275414440051
['6866291', '6896441', '6917899'] #GCS: 0.157283355239
['6757552', '6866291', '6896441'] #GCS: 0.247268697404
['6689426', '6780393', '6896441'] #GCS: 0.326207444462
['5592334', '6780393', '6896441'] #GCS: 0.3804182288
['6769405', '6866291', '6896441'] #GCS: 0.322596153517
['6243535', '6769405', '6896441'] #GCS: 0.323687764121
['6800944', '6866291', '6896441'] #GCS: 0.293406147049
['6780393', '6800944', '6896441'] #GCS: 0.337541515043
['6243535', '6800944', '6896441'] #GCS: 0.288797921688
['6403007', '6846862', '6896441'] #GCS: 0.289419073799
['6403007', '6780393', '6896441'] #GCS: 0.233709179011
['6866291', '6896441', '6925468'] #GCS: 0.351153421338
['6780393', '6866291', '6896441'] #GCS: 0.39863485412
['6243535', '6866291', '6896441'] #GCS: 0.316477496056
['5624348', '6757552', '6915778'] #GCS: 0.327096537343
['6807916', '6915778', '6917899'] #GCS: 0.331450853401
['6780393', '6800944', '6807916'] #GCS: 0.320336928784
['5805376', '6807916', '6872438'] #GCS: 0.322664400467
['6780393', '6807916', '6840624'] #GCS: 0.242677055481
['6243535', '6807916', '6866291'] #GCS: 0.305027884482
['5347743', '6807916', '6866291'] #GCS: 0.324763419982
['6807916', '6840624', '6866291'] #GCS: 0.271671375226
['6780393', '6807916', '6866291'] #GCS: 0.303007205471
['6872438', '6904454', '6913107'] #GCS: 0.488196080028
['6689426', '6913107', '6920834'] #GCS: 0.369868429848
['6243535', '6697415', '6913107'] #GCS: 0.266111470429
['5592334', '6403007', '6913107'] #GCS: 0.424216035915
['6872438', '6913107', '6924047'] #GCS: 0.300305734164
['6866291', '6913107', '6916394'] #GCS: 0.362100632613
['5805376', '6872438', '6913107'] #GCS: 0.327534435412
['5750745', '6866291', '6913107'] #GCS: 0.224151484838
['5750745', '6846862', '6913107'] #GCS: 0.442280263843
['5750745', '6403007', '6913107'] #GCS: 0.27651425975
['5750745', '5805376', '6913107'] #GCS: 0.25846809472
['5750745', '6872438', '6913107'] #GCS: 0.337417876319
['6243535', '6403007', '6913107'] #GCS: 0.219277085689
['6243535', '6866291', '6913107'] #GCS: 0.323708735615
['6403007', '6866291', '6913107'] #GCS: 0.332543989372
['6689426', '6872438', '6913107'] #GCS: 0.372221380546
['5805376', '6689426', '6913107'] #GCS: 0.391217872627
['6689426', '6866291', '6913107'] #GCS: 0.431900512991
['6243535', '6689426', '6913107'] #GCS: 0.334407796914
['6023030', '6220775', '6872438'] #GCS: 0.387909848171
['5335750', '6023030', '6872438'] #GCS: 0.359183043491
['6023030', '6161720', '6436251'] #GCS: 0.2808238953
['5953084', '6023030', '6436251'] #GCS: 0.335514727128
['5953084', '6161720', '6436251'] #GCS: 0.285113657042
['6872438', '6904454', '6920834'] #GCS: 0.391978266634
['5347743', '6872438', '6920834'] #GCS: 0.294926718829
['5318403', '6872438', '6920834'] #GCS: 0.258699120342
['6866291', '6920834', '6925468'] #GCS: 0.355079840102
['5805376', '6840624', '6920834'] #GCS: 0.241518304377
['5805376', '6403007', '6920834'] #GCS: 0.140521356112
['5805376', '6872438', '6920834'] #GCS: 0.267737435814
['6840624', '6872438', '6920834'] #GCS: 0.185944199782
['6403007', '6846862', '6920834'] #GCS: 0.218434881194
['6769405', '6872438', '6920834'] #GCS: 0.289611088511
['6769405', '6866291', '6920834'] #GCS: 0.287723812852
['6689426', '6872438', '6920834'] #GCS: 0.348414020058
['6689426', '6846862', '6920834'] #GCS: 0.255329846216
['6243535', '6689426', '6920834'] #GCS: 0.225291743117
['6689426', '6917899', '6920834'] #GCS: 0.180953958877
['6780393', '6866291', '6920834'] #GCS: 0.358773000487
['5997493', '6840624', '6904454'] #GCS: 0.255712616942
['5750745', '6872438', '6904454'] #GCS: 0.305832300952
['5318403', '6403007', '6904454'] #GCS: 0.444188965194
['5347743', '6403007', '6904454'] #GCS: 0.244265149176
['5347743', '6403007', '6872438', '6904454'] #GCS: 0.240794337656
['6403007', '6872438', '6904454'] #GCS: 0.317419320976
['5805376', '6840624', '6904454'] #GCS: 0.236421415099
['5805376', '6403007', '6904454'] #GCS: 0.214162548194
['5805376', '6403007', '6872438', '6904454'] #GCS: 0.263256582167
['5347743', '5805376', '6904454'] #GCS: 0.284302438371
['5347743', '5805376', '6872438', '6904454'] #GCS: 0.251950095842
['5805376', '6872438', '6904454'] #GCS: 0.282783695808
['5318403', '6840624', '6904454'] #GCS: 0.181653708369
['5347743', '6840624', '6904454'] #GCS: 0.267463793062
['5347743', '6872438', '6904454'] #GCS: 0.30543101916
['5318403', '5347743', '6904454'] #GCS: 0.196963582321
['5318403', '6872438', '6904454'] #GCS: 0.384063177696
['6646674', '6780393', '6866291'] #GCS: 0.290227405588
['6220775', '6840624', '6890814'] #GCS: 0.344315599734
['6243535', '6890814', '6916394'] #GCS: 0.236586514499
['6243535', '6890814', '6917899'] #GCS: 0.265785821953
['6243535', '6769405', '6890814'] #GCS: 0.280184614675
['5347743', '6243535', '6890814'] #GCS: 0.246173867476
['5997493', '6840624', '6890814'] #GCS: 0.304437258509
['5997493', '6243535', '6890814'] #GCS: 0.249950213736
['6243535', '6840624', '6890814'] #GCS: 0.20483884214
['6243535', '6866291', '6890814'] #GCS: 0.36926914638
['5592334', '6689426', '6866291'] #GCS: 0.397344110732
['5335750', '5592334', '6866291'] #GCS: 0.257506168201
['5335750', '5592334', '5805376'] #GCS: 0.287736861943
['5335750', '5592334', '5805376', '6780393'] #GCS: 0.242160278312
['5335750', '5592334', '6780393'] #GCS: 0.278523014176
['5592334', '6757552', '6780393'] #GCS: 0.197032389148
['5592334', '6757552', '6866291'] #GCS: 0.209826797485
['5592334', '6757552', '6780393', '6866291'] #GCS: 0.241671949622
['5592334', '5805376', '6866291'] #GCS: 0.277473572856
['5592334', '5805376', '6780393', '6866291'] #GCS: 0.211597835069
['5592334', '5805376', '6780393'] #GCS: 0.4217120618
['5592334', '6780393', '6866291'] #GCS: 0.351505038088
['6757552', '6846862', '6889991'] #GCS: 0.338110750926
['5335750', '6689426', '6866291'] #GCS: 0.268868346695
['5335750', '6689426', '6840624'] #GCS: 0.233241407367
['6243535', '6689426', '6924047'] #GCS: 0.377989965891
['5750745', '5805376', '6689426'] #GCS: 0.315975676764
['6689426', '6780393', '6840624'] #GCS: 0.204966003268
['6689426', '6757552', '6840624'] #GCS: 0.209454198492
['6689426', '6846862', '6917899'] #GCS: 0.268002107589
['5805376', '6689426', '6872438'] #GCS: 0.371154669422
['5805376', '6689426', '6866291'] #GCS: 0.367239795621
['6689426', '6780393', '6866291'] #GCS: 0.306263434681
['5347743', '6689426', '6866291'] #GCS: 0.33739613028
['6689426', '6840624', '6866291'] #GCS: 0.236598646805
['6689426', '6840624', '6917899'] #GCS: 0.256983198096
['5347743', '6689426', '6840624'] #GCS: 0.203642988131
['6689426', '6769405', '6780393'] #GCS: 0.338284203571
['6243535', '6689426', '6769405'] #GCS: 0.262557824966
['5805376', '6689426', '6769405'] #GCS: 0.402522733887
['5347743', '5997493', '6866291'] #GCS: 0.20348648759
['5347743', '5997493', '6918901'] #GCS: 0.285483944465
['5997493', '6220775', '6243535'] #GCS: 0.329729147051
['5997493', '6243535', '6846862'] #GCS: 0.235975409441
['5347743', '5997493', '6846862'] #GCS: 0.339526239243
['5347743', '5997493', '6243535'] #GCS: 0.321265659812
['5997493', '6243535', '6840624'] #GCS: 0.279715497847
['5347743', '5997493', '6840624'] #GCS: 0.358846521641
['5750745', '6872438', '6924047'] #GCS: 0.227415767136
['6697415', '6915778', '6924047'] #GCS: 0.24385165335
['6403007', '6915778', '6924047'] #GCS: 0.232662258124
['6243535', '6697415', '6924047'] #GCS: 0.397698564488
['6769405', '6916394', '6924047'] #GCS: 0.335857008877
['6757552', '6916394', '6924047'] #GCS: 0.217720808928
['6866291', '6917899', '6924047'] #GCS: 0.300335584094
['6243535', '6866291', '6924047'] #GCS: 0.301834991856
['5687589', '6697415', '6780393'] #GCS: 0.301419889637
['5347743', '5687589', '6918901'] #GCS: 0.233399006067
['6243535', '6800944', '6917899'] #GCS: 0.292219092553
['6243535', '6800944', '6846862'] #GCS: 0.349817294891
['6757552', '6780393', '6800944'] #GCS: 0.251288072308
['6243535', '6757552', '6800944'] #GCS: 0.300665844462
['6780393', '6800944', '6866291'] #GCS: 0.276529841101
['6243535', '6800944', '6866291'] #GCS: 0.352016522216
['6769405', '6780393', '6800944'] #GCS: 0.289108053471
['6243535', '6769405', '6800944'] #GCS: 0.418470055377
['6697415', '6769405', '6800944'] #GCS: 0.360873434201
['6243535', '6780393', '6800944'] #GCS: 0.284434563289
['6697415', '6800944', '6872438'] #GCS: 0.38598999182
['6243535', '6697415', '6800944'] #GCS: 0.252210119192
['6220775', '6780393', '6918901'] #GCS: 0.368429171127
['5750745', '6220775', '6757552'] #GCS: 0.463205964287
['5347743', '6220775', '6769405'] #GCS: 0.293109715187
['6220775', '6780393', '6866291'] #GCS: 0.325893146639
['6220775', '6243535', '6866291'] #GCS: 0.320186276537
['6915778', '6916394', '6917899'] #GCS: 0.160694285246
['6846862', '6872438', '6916394'] #GCS: 0.30403646149
['6243535', '6846862', '6916394'] #GCS: 0.253188810551
['6243535', '6769405', '6916394'] #GCS: 0.270949536112
['5203100', '6840624', '6916394'] #GCS: 0.296705158534
['6243535', '6840624', '6916394'] #GCS: 0.158573379324
['6780393', '6866291', '6916394'] #GCS: 0.336380362261
['6243535', '6866291', '6916394'] #GCS: 0.28961840155
['5805376', '6451936', '6866291'] #GCS: 0.215894950799
['6243535', '6451936', '6866291'] #GCS: 0.229990989126
['6697415', '6769405', '6915778'] #GCS: 0.303295508714
['5750745', '6243535', '6915778'] #GCS: 0.182886625655
['6243535', '6866291', '6915778'] #GCS: 0.312909826128
['6697415', '6915778', '6917899'] #GCS: 0.160201646374
['6757552', '6846862', '6915778'] #GCS: 0.160220147763
['6697415', '6757552', '6915778'] #GCS: 0.315662004122
['6780393', '6915778', '6917899'] #GCS: 0.213521273375
['6243535', '6757552', '6925468'] #GCS: 0.30537899741
['5750745', '6757552', '6925468'] #GCS: 0.484249708948
['6243535', '6757552', '6917899'] #GCS: 0.240009942549
['6243535', '6757552', '6780393'] #GCS: 0.278762043719
['6757552', '6769405', '6866291'] #GCS: 0.17279139282
['6243535', '6757552', '6769405'] #GCS: 0.235774942861
['5750745', '6243535', '6757552'] #GCS: 0.294047575499
['5750745', '5805376', '6757552'] #GCS: 0.536492001532
['6757552', '6846862', '6872438'] #GCS: 0.234534461916
['6243535', '6757552', '6846862'] #GCS: 0.301357310753
['5347743', '6757552', '6840624'] #GCS: 0.308957994984
['6697415', '6757552', '6872438'] #GCS: 0.263077282221
['6697415', '6757552', '6917899'] #GCS: 0.180742494307
['6697415', '6757552', '6840624'] #GCS: 0.201330286161
['6243535', '6697415', '6757552'] #GCS: 0.281463237711
['6757552', '6780393', '6866291'] #GCS: 0.208323573765
['6243535', '6757552', '6866291'] #GCS: 0.290724921099
['6243535', '6757552', '6872438'] #GCS: 0.315144285198
['5335750', '6780393', '6925468'] #GCS: 0.389888669099
['6697415', '6866291', '6925468'] #GCS: 0.312417253168
['6769405', '6780393', '6925468'] #GCS: 0.321925175622
['6243535', '6769405', '6925468'] #GCS: 0.345674555851
['5750745', '6769405', '6925468'] #GCS: 0.229067666213
['5805376', '6697415', '6925468'] #GCS: 0.340150315426
['5750745', '6866291', '6925468'] #GCS: 0.279582554238
['5750745', '6780393', '6925468'] #GCS: 0.196317727692
['6243535', '6780393', '6925468'] #GCS: 0.357315161685
['6403007', '6866291', '6925468'] #GCS: 0.267056102787
['5347743', '6866291', '6925468'] #GCS: 0.326373487797
['6780393', '6866291', '6925468'] #GCS: 0.341728850117
['5335750', '6840624', '6917899'] #GCS: 0.341997243472
['5335750', '6840624', '6918901'] #GCS: 0.386894341422
['5335750', '6403007', '6866291'] #GCS: 0.180574989091
['5335750', '6780393', '6866291'] #GCS: 0.277415176939
['5335750', '5750745', '6866291'] #GCS: 0.194100961564
['5335750', '5750745', '6403007'] #GCS: 0.250223516066
['5335750', '5750745', '5805376'] #GCS: 0.19656023872
['5335750', '6840624', '6872438'] #GCS: 0.371512750462
['5335750', '5805376', '6403007'] #GCS: 0.207640530906
['5318403', '5335750', '5805376'] #GCS: 0.196787369238
['5335750', '5805376', '6872438'] #GCS: 0.349937547658
['5335750', '5805376', '6866291'] #GCS: 0.289719128443
['5335750', '5805376', '6780393', '6866291'] #GCS: 0.235520108841
['5335750', '5805376', '6840624'] #GCS: 0.268005303174
['5335750', '5805376', '6780393'] #GCS: 0.220186078821
['6403007', '6769405', '6918901'] #GCS: 0.225801992923
['6403007', '6769405', '6780393'] #GCS: 0.290838274553
['5347743', '6403007', '6769405'] #GCS: 0.20723627374
['5347743', '6769405', '6866291'] #GCS: 0.381918170263
['6243535', '6769405', '6866291'] #GCS: 0.364807411219
['5805376', '6243535', '6769405'] #GCS: 0.270873528389
['5347743', '6769405', '6872438'] #GCS: 0.210242270718
['5347743', '6243535', '6769405'] #GCS: 0.391914894169
['6243535', '6769405', '6780393'] #GCS: 0.242407236636
['5750745', '5805376', '6918901'] #GCS: 0.155636436005
['6403007', '6866291', '6918901'] #GCS: 0.240798110356
['5347743', '6866291', '6918901'] #GCS: 0.286907175832
['6780393', '6840624', '6918901'] #GCS: 0.318991127071
['5318403', '5750745', '6872438'] #GCS: 0.261845572788
